"country","region","last_obs_year","last_obs_mcpr","prob_ever_reach_40","projected_year_reach_40_p50","projected_year_reach_40","projected_year_reach_40_p05","projected_year_reach_40_p95","projected_years_from_latest_to_40","required_growth_to_40_10y","model_dpdt_2025_mean","model_dpdt_2025_p05","model_dpdt_2025_p95","model_dpdt_lastobs_mean","model_dpdt_lastobs_p05","model_dpdt_lastobs_p95","latest_obs_interval_growth","mean_obs_interval_growth","max_obs_interval_growth","min_obs_interval_growth","n_intervals","investment_phase","leverage","K_mean","t0_year_mean","years_since_t0_2026","dpdt_mean_2026","s_curve_stage","last_obs_rel_sat_mean","years_since_t0_lastobs_mean","target40_status","required_growth_pp_per_year","latest_obs_interval_growth_pp_per_year","max_obs_interval_growth_pp_per_year","model_dpdt_2025_pp_per_year","model_dpdt_lastobs_pp_per_year","model_dpdt_2026_pp_per_year"
"Zambia","East/Southern Africa",2024,0.384288593842627,0.268833333333333,2043.00049867124,2044.52945233216,2033.13737316047,2065.04389944265,20.5294523321628,0.0015711406157373,0.00238298502594716,0.00221838698158815,0.00255279966250915,0.00269985083042935,0.00251536726168777,0.00288988485933101,0.00722676268579133,0.00973364291166952,0.0131477347725043,0.0032825741925928,6,"Build / monitor",0.18480749219563,0.397872021996217,2003,23.0367392709222,0.00209982045807019,"Stage 3: plateau",0.965932161780089,21.0367392709223,"Projected to cross after 2035",0.15711406157373,0.722676268579133,1.31477347725043,0.238298502594716,0.269985083042935,0.209982045807019
"Madagascar","East/Southern Africa",2021,0.340949162587376,0.337333333333333,2043.42188357267,2045.24850185682,2034.11183112385,2067.41027220658,24.2485018568203,0.0059050837412624,0.00395520426768822,0.00365163827670187,0.00426345754427681,0.00614727467862153,0.00571199293189963,0.00658303949934936,0.00854018003357369,0.0120496092395379,0.0223580435822247,0.00770880708624908,4,"Build / monitor",0.291363163371488,0.397858342573024,2007,18.870113737617,0.00351495683241048,"Stage 3: plateau",0.857100200457026,13.8701137376169,"Projected to cross after 2035",0.59050837412624,0.854018003357369,2.23580435822247,0.395520426768822,0.614727467862153,0.351495683241048
"Namibia","East/Southern Africa",2013,0.497159535693403,1,2013,2013,2013,2013,0,0,0.00111653175923187,0.00100118961197567,0.0012395720608688,0.00518091841317203,0.0046965868101689,0.00569066543524993,0.005793100984614,0.0132163268110755,0.0195602162357304,0.005793100984614,3,"Build / monitor",0.0841311134235172,0.544428022037765,1995,31.2458615625512,0.000976150618112324,"Stage 3: plateau",0.913285668025002,18.2458615625513,"Already crossed",0,0.5793100984614,1.95602162357304,0.111653175923187,0.518091841317203,0.0976150618112324
"Zimbabwe","East/Southern Africa",2015,0.478755957265201,1,2015,2015,2015,2015,0,0,0.000309227801607763,0.000272380897201622,0.000348046610262582,0.00119588770718103,0.0010570363476337,0.00134148107311249,0.0147190348819408,0.0077779233368192,0.0147190348819408,0.0029289436182526,5,"Maintain / equity",0.0234651404786681,0.443882295469354,1987,39.2043158398633,0.000269649719546711,"Stage 3: plateau",1.07863643557267,28.2043158398632,"Already crossed",0,1.47190348819408,1.47190348819408,0.0309227801607763,0.119588770718103,0.0269649719546711
"South Africa","East/Southern Africa",2016,0.478773473282353,1,2016,2016,2016,2016,0,0,2.65226899965966e-05,1.98415480075298e-05,4.37809981480454e-05,9.18689470268749e-05,6.87671302472116e-05,0.000151477208956711,-0.000811745813016947,-0.000811745813016947,-0.000811745813016947,-0.000811745813016947,1,"Maintain / equity",0.00187304890738814,0.491951726498,1968,57.9442674232625,2.31001791997062e-05,"Stage 3: plateau",0.973267758848967,47.9442674232625,"Already crossed",0,-0.0811745813016947,-0.0811745813016947,0.00265226899965966,0.00918689470268749,0.00231001791997062
"Kenya","East/Southern Africa",2022,0.419868867938313,1,2022,2022,2022,2022,0,0,0.00093662308753971,0.000875253656262234,0.00099997019862646,0.00139407184157761,0.00130403760833037,0.00148679100056384,0.003566606207968,0.00863292291446321,0.0186227028491478,-0.0017648051211888,6,"Build / monitor",0.0771071800208117,0.412878530000999,1996,30.4862692729657,0.000819203128783491,"Stage 3: plateau",1.01696272234972,26.4862692729658,"Already crossed",0,0.3566606207968,1.86227028491478,0.093662308753971,0.139407184157761,0.0819203128783491
"Lesotho","East/Southern Africa",2023,0.532158420005745,1,2023,2023,2023,2023,0,0,0.00461978200548523,0.00419299898212088,0.00508797493954171,0.00586325065211516,0.00533623351528179,0.0064368747984019,0.00520700740349433,0.015671134054484,0.027310736836579,0.00520700740349433,3,"Build / monitor",0.311342351716962,0.588740302673502,2005,20.8574868472383,0.00408682288066791,"Stage 3: plateau",0.90403760028599,17.8574868472382,"Already crossed",0,0.520700740349433,2.7310736836579,0.461978200548523,0.586325065211516,0.408682288066791
"Malawi","East/Southern Africa",2024,0.5296723957499,1,2024,2024,2024,2024,0,0,0.00498924171591449,0.00472894730118258,0.00524896960574962,0.00561481913242499,0.00532649807874826,0.00590177651188693,0.00868525458934378,0.0144090835122321,0.0250521764164566,0.002218946345707,5,"Build / monitor",0.342247658688866,0.567611911336274,2006,19.9097193543789,0.00442258593204547,"Stage 3: plateau",0.933206664140332,17.9097193543789,"Already crossed",0,0.868525458934378,2.50521764164566,0.498924171591449,0.561481913242499,0.442258593204547
"Angola","East/Southern Africa",2023,0.139111969545999,0,NA,NA,NA,NA,NA,0.0260888030454001,0.000800344459456145,0.000246958468737626,0.00137316146346378,0.00102515499525715,0.000322933368616216,0.00173461604111159,0.00180701400605037,0.00180701400605037,0.00180701400605037,0.00180701400605037,1,"Build / monitor",0.0724245577523413,0.146503510560834,2002,24.3915812762166,0.000705334349007741,"Stage 3: plateau",0.95084972052081,21.3915812762167,"Not projected to cross",2.60888030454001,0.180701400605037,0.180701400605037,0.0800344459456145,0.102515499525715,0.0705334349007741
"Burundi","East/Southern Africa",2016,0.14574983802506,0,NA,NA,NA,NA,NA,0.025425016197494,0.00217597949756155,0.00153473901558847,0.00295970549545705,0.00505971751149724,0.00392587853794176,0.00629903277612879,0.0059531142541805,0.00514530997685977,0.0059531142541805,0.00433750569953904,2,"Build / monitor",0.204474505723205,0.194933208869999,2008,17.9560837934275,0.00193991888047529,"Stage 2: diffusion",0.749397819410559,7.95608379342764,"Not projected to cross",2.5425016197494,0.59531142541805,0.59531142541805,0.217597949756155,0.505971751149724,0.193991888047529
"Comoros","East/Southern Africa",2012,0.0985179320706266,0,NA,NA,NA,NA,NA,0.0301482067929373,7.18246357400405e-05,1.21730265536337e-05,0.000143333580103147,0.00040808937263351,7.27553674965742e-05,0.000786422840989168,0.00130081337736498,0.00130081337736498,0.00130081337736498,0.00130081337736498,1,"Maintain / equity",0.00936524453694069,0.101012418535914,1986,40.0517361539066,6.26483904470857e-05,"Stage 3: plateau",0.977899199451259,26.0517361539067,"Not projected to cross",3.01482067929373,0.130081337736498,0.130081337736498,0.00718246357400406,0.040808937263351,0.00626483904470857
"Mozambique","East/Southern Africa",2022,0.250311161307126,0,NA,NA,NA,NA,NA,0.0149688838692874,0.000901081072685193,0.000788722151482696,0.00102187976169334,0.00132422133239476,0.00116297607794973,0.00149724506347608,0.0117732958764442,0.00898011020084621,0.0270803701212213,-0.0119133353951269,3,"Build / monitor",0.082414151925078,0.230421677315708,2000,26.3744501624578,0.000790676669639767,"Stage 3: plateau",1.08658056483233,22.3744501624578,"Not projected to cross",1.49688838692874,1.17732958764442,2.70803701212213,0.0901081072685193,0.132422133239476,0.0790676669639767
"Tanzania","East/Southern Africa",2022,0.25425034401086,0,NA,NA,NA,NA,NA,0.014574965598914,0.00109904413534283,0.00100616937250774,0.00119803870796771,0.00161561893640513,0.00148224360118266,0.0017576054175269,-0.00242275722052728,0.00768732445298465,0.0146193458454103,-0.00242275722052728,6,"Build / monitor",0.0946930280957336,0.283327700066551,2000,26.428341284035,0.000964311874629547,"Stage 3: plateau",0.897475191236571,22.4283412840351,"Not projected to cross",1.4574965598914,-0.242275722052728,1.46193458454103,0.109904413534283,0.161561893640513,0.0964311874629547
"Uganda","East/Southern Africa",2016,0.272883816057891,0,NA,NA,NA,NA,NA,0.0127116183942109,0.00174187859821849,0.00155562366273192,0.00195085707119037,0.00492479453445373,0.0044759059042058,0.00541481648171462,0.0132202351612526,0.00937968596354045,0.018153176693822,-0.00173344132769666,5,"Build / monitor",0.13267429760666,0.301948951773048,2003,23.3412734302299,0.00153421670403831,"Stage 3: plateau",0.903959738915504,13.3412734302299,"Not projected to cross",1.27116183942109,1.32202351612526,1.8153176693822,0.174187859821849,0.492479453445373,0.153421670403831
