"country","region","last_obs_year","last_obs_mcpr","prob_ever_reach_40","projected_year_reach_40_p50","projected_year_reach_40","projected_year_reach_40_p05","projected_year_reach_40_p95","projected_years_from_latest_to_40","required_growth_to_40_10y","model_dpdt_2025_mean","model_dpdt_2025_p05","model_dpdt_2025_p95","model_dpdt_lastobs_mean","model_dpdt_lastobs_p05","model_dpdt_lastobs_p95","latest_obs_interval_growth","mean_obs_interval_growth","max_obs_interval_growth","min_obs_interval_growth","n_intervals","investment_phase","leverage","K_mean","t0_year_mean","years_since_t0_2026","dpdt_mean_2026","s_curve_stage","last_obs_rel_sat_mean","years_since_t0_lastobs_mean","target40_status","required_growth_pp_per_year","latest_obs_interval_growth_pp_per_year","max_obs_interval_growth_pp_per_year","model_dpdt_2025_pp_per_year","model_dpdt_lastobs_pp_per_year","model_dpdt_2026_pp_per_year","p2025_mean","p2025_p05","p2025_p95","prob_reach_40_by_2035","p2026_mean","K_p05","K_p95","s_curve_stage_2026","women_15_49","weight_share_ssa","target_gap_pp","target_gap_p2025_pp","target_gap_p2026_pp","projected_reach_40_by_2036","crossing_label","required_growth_from_lastobs_pp_per_year","required_growth_from_p2025_pp_per_year","required_growth_from_p2026_pp_per_year","growth_gap_vs_latest_obs_pp","growth_gap_vs_model_pp","women_15_49_millions","contribution_2026_pp","contribution_2035_pp","delta_contribution_pp","marginal_lift_if40_pp","marginal_lift_if40_p05","marginal_lift_if40_p95","expected_goal_contribution_pp","corr_with_regional_2035"
"Nigeria","West Africa",2024,0.13104165101535,0,NA,NA,NA,NA,NA,0.026895834898465,0.00115480784156804,0.00101091944231043,0.00130529148744153,0.00122386757944973,0.00107370330720207,0.00138043654547789,0.00431898191134883,0.00229416847711053,0.00431898191134883,-0.0012726000592774,5,"Build / monitor",0.163683662851197,0.144556741424995,1999,27.2179391384043,0.00108830490070893,"Stage 3: plateau",0.90675495162832,25.2179391384042,"Not projected to cross",2.6895834898465,0.431898191134883,0.431898191134883,0.115480784156804,0.122386757944973,0.108830490070893,0.127522036307101,0.124993677042567,0.130009321536706,0,0.128643375630398,0.140007153726736,0.149202707364598,"Stage 3: plateau",54276250,0.192660087021572,26.895834898465,27.2477963692899,27.1356624369602,FALSE,"Not projected",2.6895834898465,2.72477963692899,2.71356624369602,2.25768529871162,2.56719673190153,54.27625,1.01168841123889,1.06363616463024,0.0519477533913465,0.0284216054000096,0.00332174656846432,0.0541598691615399,0,0.0567496997413768
"Senegal","West Africa",2023,0.174527653745172,0,NA,NA,NA,NA,NA,0.0225472346254828,0.0061822400465798,0.00559614958654548,0.00678357454031696,0.00637503885189226,0.00582276085430269,0.00693716998976236,-0.00112460417094599,0.00600060576428707,0.023032215353686,-0.00675990237311,12,"Scale-up",0.668574401664932,0.341045309340814,2019,7.31041422008661,0.00606253996243052,"Stage 2: diffusion",0.512365232013002,4.31041422008652,"Not projected to cross",2.25472346254828,-0.112460417094599,2.3032215353686,0.61822400465798,0.637503885189226,0.606253996243052,0.210891912374809,0.205667153425029,0.21619185971285,0,0.217015514053292,0.318711250380415,0.36511580041467,"Stage 2: diffusion",4513795,0.0160222590451171,22.5472346254828,18.9108087625191,18.2984485946708,FALSE,"Not projected",2.25472346254828,1.89108087625191,1.82984485946708,2.36718387964288,1.61721957735905,4.513795,1.03670468629474,1.08291835274918,0.0462136664544364,-0.30575692593934,-0.319961295348698,-0.291214129447923,0,0.041002510047382
"Uganda","East/Southern Africa",2016,0.272883816057891,0,NA,NA,NA,NA,NA,0.0127116183942109,0.00174187859821849,0.00155562366273192,0.00195085707119037,0.00492479453445373,0.0044759059042058,0.00541481648171462,0.0132202351612526,0.00937968596354045,0.018153176693822,-0.00173344132769666,5,"Build / monitor",0.13267429760666,0.301948951773048,2003,23.3412734302299,0.00153421670403831,"Stage 3: plateau",0.903959738915504,13.3412734302299,"Not projected to cross",1.27116183942109,1.32202351612526,1.8153176693822,0.174187859821849,0.492479453445373,0.153421670403831,0.288775038227519,0.280894362388043,0.296777807469355,0,0.290411094254987,0.292776611424762,0.311394013751452,"Stage 3: plateau",11900129,0.042240941271881,12.7116183942109,11.1224961772481,10.9588905745013,FALSE,"Not projected",1.27116183942109,1.11224961772481,1.09588905745013,-0.0508616767041703,0.778682385975716,11.900129,0.21057220616579,0.252430204923545,0.0418579987577549,0.0666586660043429,0.0236690216655389,0.100644323077933,0,0.131327909690572
"Namibia","East/Southern Africa",2013,0.497159535693403,1,2013,2013,2013,2013,0,0,0.00111653175923187,0.00100118961197567,0.0012395720608688,0.00518091841317203,0.0046965868101689,0.00569066543524993,0.005793100984614,0.0132163268110755,0.0195602162357304,0.005793100984614,3,"Build / monitor",0.0841311134235172,0.544428022037765,1995,31.2458615625512,0.000976150618112324,"Stage 3: plateau",0.913285668025002,18.2458615625513,"Already crossed",0,0.5793100984614,1.95602162357304,0.111653175923187,0.518091841317203,0.0976150618112324,0.536229097262933,0.525616607597328,0.547206177024792,1,0.537273913341357,0.533019517377524,0.556044337201533,"Stage 3: plateau",760368,0.0026990178033379,-9.7159535693403,-13.6229097262933,-13.7273913341357,TRUE,"Already crossed (2013)",0,0,0,-0.5793100984614,-0.518091841317203,0.760368,1.22672379771276,1.26102550304448,0.0343017053317136,0.428612147830766,0.39041820140345,0.466032019331357,0.428612147830766,0.129030285674905
"Rwanda","East/Southern Africa",2019,0.351298453354893,1,2021.70576164001,2021.71966581984,2021.08924761396,2022.42150622146,2.719665819837,0.0048701546645107,0.0113485197353903,0.010314637385584,0.0124424101634272,0.0169263541537545,0.0157829180048824,0.0181062357466194,0.018418731036531,0.0169650575937735,0.0448214132086965,-0.00648905683885355,6,"Scale-up",0.593132154006244,0.543600151978824,2014,11.7156361190866,0.0103743082936092,"Stage 2: diffusion",0.646569476805256,4.71563611908661,"Projected to cross by 2035",0.48701546645107,1.8418731036531,4.48214132086965,1.13485197353903,1.69263541537545,1.03743082936092,0.442815887271651,0.43006384293906,0.456205126950494,1,0.453675014529777,0.520600029891327,0.567959772796269,"Stage 3: plateau",3637189,0.0129106404597573,4.8701546645107,-4.28158872716514,-5.36750145297771,TRUE,"By 2035 (~2022)",0.48701546645107,0,0,-1.35485763720203,-1.20561994892438,3.637189,0.177033782996195,0.208799118408402,0.0317653354122063,0.267600553818226,0.243894748901922,0.287598557491949,0.267600553818226,0.102367243636485
"Gabon","Central Africa",2019,0.171286150617783,0,NA,NA,NA,NA,NA,0.0228713849382217,6.29124966803575e-06,1.62885443346885e-06,2.68855124221019e-05,1.73725931762364e-05,4.50386833872549e-06,7.41490366211936e-05,-0.00974809149770986,-0.00974809149770986,-0.00974809149770986,-0.00974809149770986,1,"Maintain / equity",0,0.202786477284566,1972,53.9383274115453,5.31086156414032e-06,"Stage 3: plateau",0.844844741936716,46.9383274115454,"Not projected to cross",2.28713849382217,-0.974809149770986,-0.974809149770986,0.000629124966803575,0.00173725931762364,0.000531086156414032,0.202749353287452,0.19688298116549,0.208619003610552,0,0.202755140520176,0.196898862675144,0.208670616817735,"Stage 3: plateau",609699,0.00216420003955626,22.8713849382217,19.7250646712548,19.7244859479824,FALSE,"Not projected",2.28713849382217,1.97250646712548,1.97244859479824,3.26194764359316,2.28540123450455,0.609699,1.58058616350165,1.609522124074,0.0289359605723515,0.679751915750916,0.645838051073467,0.713194913008611,0,0.111003505742019
"Zambia","East/Southern Africa",2024,0.384288593842627,0.268833333333333,2043.00049867124,2044.52945233216,2033.13737316047,2065.04389944265,20.5294523321628,0.0015711406157373,0.00238298502594716,0.00221838698158815,0.00255279966250915,0.00269985083042935,0.00251536726168777,0.00288988485933101,0.00722676268579133,0.00973364291166952,0.0131477347725043,0.0032825741925928,6,"Build / monitor",0.18480749219563,0.397872021996217,2003,23.0367392709222,0.00209982045807019,"Stage 3: plateau",0.965932161780089,21.0367392709223,"Projected to cross after 2035",0.15711406157373,0.722676268579133,1.31477347725043,0.238298502594716,0.269985083042935,0.209982045807019,0.379817284864847,0.374158713941148,0.385622574628011,0.0211666666666667,0.382055993748573,0.39127038064133,0.40473359340959,"Stage 3: plateau",5217546,0.018520307987362,1.5711406157373,2.0182715135153,1.79440062514268,FALSE,"After 2035 (~2043)",0.15711406157373,0.20182715135153,0.179440062514268,-0.565562207005402,-0.112871021469205,5.217546,0.165618800679476,0.192569923986969,0.0269511233074924,0.307021690405295,0.281680129053259,0.328708068912818,0.00649862578024542,0.103956166924848
"Ghana","West Africa",2022,0.234376863828137,0,NA,NA,NA,NA,NA,0.0165623136171863,0.00345837670664249,0.00306498355637634,0.00388128260737255,0.00396009087145457,0.00354006749971475,0.0044081273090864,0.00659205819770813,0.00533375329676226,0.0092219967514338,-0.0035642059396894,6,"Build / monitor",0.36576482830385,0.29535843606745,2006,20.0995195976843,0.00329341785114794,"Stage 2: diffusion",0.794013282323144,16.0995195976843,"Not projected to cross",1.65623136171863,0.659205819770813,0.92219967514338,0.345837670664249,0.396009087145457,0.329341785114794,0.239959200806846,0.232948243972656,0.247123864221908,0,0.243334920803386,0.281374779990167,0.30993443347475,"Stage 3: plateau",8617189,0.0305877503073874,16.5623136171863,16.0040799193154,15.6665079196614,FALSE,"Not projected",1.65623136171863,1.60040799193154,1.56665079196614,0.997025541947818,1.26022227457317,8.617189,2.09318403207339,2.11511058243577,0.0219265503623728,-0.0572502143453077,-0.0800174301131491,-0.0342214197093696,0,0.0528312634605175
"Zimbabwe","East/Southern Africa",2015,0.478755957265201,1,2015,2015,2015,2015,0,0,0.000309227801607763,0.000272380897201622,0.000348046610262582,0.00119588770718103,0.0010570363476337,0.00134148107311249,0.0147190348819408,0.0077779233368192,0.0147190348819408,0.0029289436182526,5,"Maintain / equity",0.0234651404786681,0.443882295469354,1987,39.2043158398633,0.000269649719546711,"Stage 3: plateau",1.07863643557267,28.2043158398632,"Already crossed",0,1.47190348819408,1.47190348819408,0.0309227801607763,0.119588770718103,0.0269649719546711,0.441634419932055,0.43492003585917,0.448573791861112,1,0.441923411482058,0.436999338673929,0.45104795536906,"Stage 3: plateau",4309145,0.0152958292197521,-7.8755957265201,-4.1634419932055,-4.19234114820579,TRUE,"Already crossed (2015)",0,0,0,-1.47190348819408,-0.119588770718103,4.309145,0.707579467264122,0.728185869535274,0.0206064022711527,0.0126264499592046,0.000364851078371582,0.0243741691598146,0.0126264499592046,0.0437467401943749
"Madagascar","East/Southern Africa",2021,0.340949162587376,0.337333333333333,2043.42188357267,2045.24850185682,2034.11183112385,2067.41027220658,24.2485018568203,0.0059050837412624,0.00395520426768822,0.00365163827670187,0.00426345754427681,0.00614727467862153,0.00571199293189963,0.00658303949934936,0.00854018003357369,0.0120496092395379,0.0223580435822247,0.00770880708624908,4,"Build / monitor",0.291363163371488,0.397858342573024,2007,18.870113737617,0.00351495683241048,"Stage 3: plateau",0.857100200457026,13.8701137376169,"Projected to cross after 2035",0.59050837412624,0.854018003357369,2.23580435822247,0.395520426768822,0.614727467862153,0.351495683241048,0.36683067266,0.359011193210373,0.374429782279506,0.0155,0.37056223178042,0.387788980739763,0.407740318471862,"Stage 3: plateau",7691370,0.0273014442507563,5.9050837412624,3.31693273400002,2.94377682195805,FALSE,"After 2035 (~2043)",0.59050837412624,0.331693273400002,0.294377682195805,-0.263509629231129,-0.0242190937359131,7.69137,0.136060808379117,0.155550057906181,0.019489249527064,0.0358325562111611,0.0223128027361503,0.0478288863768238,0.000555404621272996,0.0519723493437753
