"X","country","survey_id","year","n_rows","n_women","mCPR","mCPR_pct","se_mCPR","se_mCPR_pct","year_first","t_rel","y","n","year_center","p_hat","y_hat","pearson_resid","p_hat_clipped","logit_mCPR"
36,"Burundi","BU1987DHS",1987,3970,3970.00000000013,0.010268521410579,1.0268521410579,0.00168809812921667,0.168809812921667,1987,0,41,3970,-13,NA,NA,NA,0.010268521410579,-4.56835063072054
37,"Burundi","BU2010DHS",2010,9389,9389.00024700017,0.110031152499977,11.0031152499977,0.00361967243912747,0.361967243912747,1987,23,1033,9389,10,NA,NA,NA,0.110031152499977,-2.09042292906179
38,"Burundi","BU2016DHS",2016,17269,17268.9995069995,0.14574983802506,14.574983802506,0.00299713073494096,0.299713073494096,1987,29,2517,17269,16,NA,NA,NA,0.14574983802506,-1.76833236669644
39,"Cambodia","KH2000DHS",2000,15351,15351.000095,0.112036813325289,11.2036813325289,0.00290097882079036,0.290097882079036,2000,0,1720,15351,0,NA,NA,NA,0.112036813325289,-2.07010277799283
40,"Cambodia","KH2005DHS",2005,16823,16822.9915480001,0.164124884811478,16.4124884811478,0.00343286874278909,0.343286874278909,2000,5,2761,16823,5,NA,NA,NA,0.164124884811478,-1.62785158739144
41,"Cambodia","KH2010DHS",2010,18754,18754.000102,0.217158195150362,21.7158195150362,0.00372583298288722,0.372583298288722,2000,10,4073,18754,10,NA,NA,NA,0.217158195150362,-1.28230454049815
42,"Cambodia","KH2014DHS",2014,17578,17578.0000469992,0.26612201527435,26.612201527435,0.00416076442325412,0.416076442325412,2000,14,4678,17578,14,NA,NA,NA,0.26612201527435,-1.01438787380435
43,"Cambodia","KH2021DHS",2021,19496,19495.999819,0.311853461296957,31.1853461296957,0.00432140133153551,0.432140133153551,2000,21,6080,19496,21,NA,NA,NA,0.311853461296957,-0.791468405407428
44,"Cameroon","CM1991DHS",1991,3871,3871.13695400024,0.0420731451600278,4.20731451600278,0.00348430999437137,0.348430999437137,1991,0,163,3871,-9,NA,NA,NA,0.0420731451600278,-3.125361768144
45,"Cameroon","CM1998DHS",1998,5501,5500.99913399959,0.0801169229924177,8.01169229924177,0.00382214068313419,0.382214068313419,1991,7,441,5501,-2,NA,NA,NA,0.0801169229924177,-2.44075946668446
