"X","country","survey_id","year","n_rows","n_women","mCPR","mCPR_pct","se_mCPR","se_mCPR_pct","year_first","t_rel","y","n","year_center","p_hat","y_hat","pearson_resid","p_hat_clipped","logit_mCPR","row_id","region","region_prior","s_region_fixed","prob_error","prev_year","prev_mcpr","obs_growth_annual","interval_mid_year"
97,"Ghana","GH2003DHS",2003,5691,5690.99997600004,0.152681549053655,15.2681549053655,0.0052269268964856,0.52269268964856,1988,15,869,5691,3,0.131197437736094,746.644618156111,4.80402833909164,0.131197437736094,-1.71372222555524,97,"West Africa","WAF",13.006980724418,0.021484111317561,1998,0.106571565296486,0.0092219967514338,2000.5
98,"Ghana","GH2008DHS",2008,4916,4915.99985799994,0.134860519355208,13.4860519355208,0.00531160000029141,0.531160000029141,1988,20,663,4916,8,0.159462054555019,783.915460192472,-4.71051679141144,0.159462054555019,-1.85864968886461,98,"West Africa","WAF",13.006980724418,-0.0246015351998106,2003,0.152681549053655,-0.0035642059396894,2005.5
99,"Ghana","GH2014DHS",2014,9396,9396.00008300001,0.181640398246472,18.1640398246472,0.0048737491142812,0.48737491142812,1988,26,1707,9396,14,0.192101156988749,1804.98247106628,-2.56586262364052,0.192101156988749,-1.5052729522162,99,"West Africa","WAF",13.006980724418,-0.0104607587422767,2008,0.134860519355208,0.00779664648187733,2011
100,"Ghana","GH2022DHS",2022,15014,15014.0000489995,0.234376863828137,23.4376863828137,0.00447817602998914,0.447817602998914,1988,34,3519,15014,22,0.228832380952753,3435.68936762464,1.61852381068816,0.228832380952753,-1.18375971031592,100,"West Africa","WAF",13.006980724418,0.00554448287538378,2014,0.181640398246472,0.00659205819770813,2018
106,"Guinea","GN2005DHS",2005,7954,7953.99992800004,0.0682980602108949,6.82980602108949,0.00308060458675913,0.308060458675913,1999,6,543,7954,5,0.0626304277493971,498.162422318705,2.07491941274388,0.0626304277493971,-2.61313159128152,106,"West Africa","WAF",13.006980724418,0.0056676324614978,1999,0.0485969575431292,0.00328351711129428,2002
107,"Guinea","GN2012DHS",2012,9142,9141.99984000006,0.0703747785232947,7.03747785232947,0.00308844703282507,0.308844703282507,1999,13,643,9142,12,0.0862130600283973,788.159794779608,-5.40899691363581,0.0862130600283973,-2.5809465779051,107,"West Africa","WAF",13.006980724418,-0.0158382815051026,2005,0.0682980602108949,0.000296674044628542,2008.5
108,"Guinea","GN2018DHS",2018,10874,10873.999956,0.114285827113167,11.4285827113167,0.00334671943356881,0.334671943356881,1999,19,1243,10874,18,0.107201218507325,1165.70605004865,2.39593031156865,0.107201218507325,-2.04769172873969,108,"West Africa","WAF",13.006980724418,0.00708460860584229,2012,0.0703747785232947,0.00731850809831205,2015
140,"Kenya","KE1993DHS",1993,7540,7540.0003279998,0.206850036359845,20.6850036359845,0.00525813191747475,0.525813191747475,1989,4,1560,7540,-7,0.170917707198911,1288.71951227979,8.29928226656848,0.170917707198911,-1.34401824432593,140,"East/Southern Africa","ESA",7.23239055102267,0.0359323291609342,1989,0.146616934497061,0.015058275465696,1991
141,"Kenya","KE1998DHS",1998,7881,7881.00014299983,0.236019871875296,23.6019871875296,0.00540860686128987,0.540860686128987,1989,9,1860,7881,-2,0.241558010146113,1903.71867796152,-1.15054722850122,0.241558010146113,-1.1746257741781,141,"East/Southern Africa","ESA",7.23239055102267,-0.00553813827081731,1993,0.206850036359845,0.0058339671030902,1995.5
142,"Kenya","KE2003DHS",2003,8195,8194.99994200007,0.227195846269352,22.7195846269352,0.00513644544675407,0.513644544675407,1989,14,1862,8195,3,0.30463721380005,2496.50196709141,-15.2286460989243,0.30463721380005,-1.22421325337942,142,"East/Southern Africa","ESA",7.23239055102267,-0.0774413675306979,1998,0.236019871875296,-0.0017648051211888,2000.5
143,"Kenya","KE2008DHS",2008,8444,8444.0000029999,0.279599801179682,27.9599801179682,0.00715336374457414,0.715336374457414,1989,19,2361,8444,8,0.350491774164349,2959.55254104377,-13.6520202507489,0.350491774164349,-0.946447590016771,143,"East/Southern Africa","ESA",7.23239055102267,-0.0708919729846674,2003,0.227195846269352,0.010480790982066,2005.5
144,"Kenya","KE2014DHS",2014,31079,31079.0000409998,0.391336018274569,39.1336018274569,0.00373298283049001,0.373298283049001,1989,25,12162,31079,14,0.38312761265369,11907.223073664,2.97274175765813,0.38312761265369,-0.441699788587468,144,"East/Southern Africa","ESA",7.23239055102267,0.0082084056208786,2008,0.279599801179682,0.0186227028491478,2011
145,"Kenya","KE2022DHS",2022,32156,32156.000492,0.419868867938313,41.9868867938313,0.00383249310632111,0.383249310632111,1989,33,13501,32156,22,0.402536777718274,12943.9726243088,6.33413270976459,0.402536777718274,-0.323311724415195,145,"East/Southern Africa","ESA",7.23239055102267,0.0173320902200392,2014,0.391336018274569,0.003566606207968,2018
149,"Lesotho","LS2009DHS",2009,7624,7624.00032999996,0.348741669191401,34.8741669191401,0.00641162711919564,0.641162711919564,2004,5,2659,7624,9,0.370967188299072,2828.25384359212,-4.0127554844821,0.370967188299072,-0.62457493978728,149,"East/Southern Africa","ESA",7.23239055102267,-0.0222255191076707,2004,0.276263379574508,0.0144956579233786,2006.5
150,"Lesotho","LS2014DHS",2014,6621,6620.99994500001,0.485295353374296,48.5295353374296,0.00737707215226912,0.737707215226912,2004,10,3213,6621,14,0.454930398120066,3012.09416595296,4.95829422949186,0.454930398120066,-0.0588355528347696,150,"East/Southern Africa","ESA",7.23239055102267,0.0303649552542301,2009,0.348741669191401,0.027310736836579,2011.5
151,"Lesotho","LS2023DHS",2023,6413,6412.99996900012,0.532158420005745,53.2158420005745,0.00832904502756296,0.832904502756296,2004,19,3413,6413,23,0.542734115228295,3480.55388095906,-1.69333046918989,0.542734115228295,0.128811492652722,151,"East/Southern Africa","ESA",7.23239055102267,-0.01057569522255,2014,0.485295353374296,0.00520700740349433,2018.5
153,"Liberia","LB2007DHS",2007,7092,7091.96639999997,0.117201559217765,11.7201559217765,0.00476429535054459,0.476429535054459,1986,21,831,7092,7,0.155715790193379,1104.33638405144,-8.95163613917721,0.155715790193379,-2.01920172720218,153,"West Africa","WAF",13.006980724418,-0.0385142309756138,1986,0.0697565402288457,0.00225928661851997,1996.5
154,"Liberia","LB2013DHS",2013,9239,9238.99979699995,0.20513663011611,20.513663011611,0.00592057564127685,0.592057564127685,1986,27,1895,9239,13,0.198976900834156,1838.34758680677,1.47632535755669,0.198976900834156,-1.35449399259819,154,"West Africa","WAF",13.006980724418,0.00615972928195421,2007,0.117201559217765,0.0146558451497242,2010
155,"Liberia","LB2019DHS",2019,8065,8064.99973299999,0.253048793498329,25.3048793498329,0.00700324967625323,0.700324967625323,1986,33,2041,8065,19,0.241317559825072,1946.22611998921,2.46639139351101,0.241317559825072,-1.08241753391488,155,"West Africa","WAF",13.006980724418,0.0117312336732568,2013,0.20513663011611,0.00798536056370316,2016
157,"Madagascar","MD1997DHS",1997,7060,7060.00154799967,0.0733548040292904,7.33548040292904,0.00331255632538167,0.331255632538167,1992,5,518,7060,-3,0.0786632779460349,555.362742299006,-1.65173808780666,0.0786632779460349,-2.53626275088287,157,"East/Southern Africa","ESA",7.23239055102267,-0.00530847391674447,1992,0.034810768598045,0.00770880708624908,1994.5
158,"Madagascar","MD2004DHS",2004,7949,7949.00004600012,0.140494647822019,14.0494647822019,0.00563479672397748,0.563479672397748,1992,12,1117,7949,4,0.156523315181225,1244.20383237555,-3.9266110760183,0.156523315181225,-1.81118765763193,158,"East/Southern Africa","ESA",7.23239055102267,-0.0160286673592056,1997,0.0733548040292904,0.00959140625610409,2000.5
159,"Madagascar","MD2008DHS",2008,17375,17375.0000310003,0.229926822150918,22.9926822150918,0.00392031368096593,0.392031368096593,1992,16,3995,17375,8,0.210843751244333,3663.41017787029,6.16704216941663,0.210843751244333,-1.20872445276283,159,"East/Southern Africa","ESA",7.23239055102267,0.0190830709065846,2004,0.140494647822019,0.0223580435822247,2006
160,"Madagascar","MD2021DHS",2021,18869,18869.0000619999,0.340949162587376,34.0949162587376,0.00402382994925005,0.402382994925005,1992,29,6433,18869,21,0.346854777753112,6544.80280142347,-1.71001344789813,0.346854777753112,-0.659067291945604,160,"East/Southern Africa","ESA",7.23239055102267,-0.00590561516573607,2008,0.229926822150918,0.00854018003357369,2014.5
162,"Malawi","MW2000DHS",2000,13220,13220.0009659992,0.215100909395816,21.5100909395816,0.00413437665585398,0.413437665585398,1992,8,2844,13220,0,0.1709024340474,2259.33017810663,13.5088383957755,0.1709024340474,-1.29444789847218,162,"East/Southern Africa","ESA",7.23239055102267,0.0441984753484157,1992,0.0627452911650953,0.0190444522788401,1996
163,"Malawi","MW2004DHS",2004,11698,11697.890522,0.223976694778644,22.3976694778644,0.00454424869193535,0.454424869193535,1992,12,2620,11698,4,0.243063199984148,2843.35331341456,-4.81445548487933,0.243063199984148,-1.24264054695839,163,"East/Southern Africa","ESA",7.23239055102267,-0.019086505205504,2000,0.215100909395816,0.002218946345707,2002
164,"Malawi","MW2010DHS",2010,23020,23020.0001139997,0.326244222363523,32.6244222363523,0.00394412551733977,0.394412551733977,1992,18,7510,23020,10,0.358673715101854,8256.66892164468,-10.2609157090821,0.358673715101854,-0.725221448278637,164,"East/Southern Africa","ESA",7.23239055102267,-0.0324294927383311,2004,0.223976694778644,0.0170445879308132,2007
165,"Malawi","MW2015DHS",2015,24562,24561.9998020004,0.451505104445806,45.1505104445806,0.00400858688829496,0.400858688829496,1992,23,11090,24562,15,0.439390547773793,10792.3106344199,3.82715361169453,0.439390547773793,-0.194591295159962,165,"East/Southern Africa","ESA",7.23239055102267,0.0121145566720134,2010,0.326244222363523,0.0250521764164566,2012.5
166,"Malawi","MW2024DHS",2024,21587,20848.9998149998,0.5296723957499,52.96723957499,0.00414308490097873,0.414308490097873,1992,32,11043,20849,24,0.523587117828409,10916.2678196045,1.75734919861466,0.523587117828409,0.118829211993221,166,"East/Southern Africa","ESA",7.23239055102267,0.00608527792149061,2015,0.451505104445806,0.00868525458934378,2019.5
170,"Mali","ML1996DHS",1996,9704,9704.00041800008,0.0503995601744616,5.03995601744616,0.00233690851257276,0.233690851257276,1987,9,489,9704,-4,0.0403333165786416,391.394504079138,5.03624329263633,0.0403333165786416,-2.93605885812257,170,"West Africa","WAF",13.006980724418,0.01006624359582,1987,0.0123673466265314,0.00422580150532558,1991.5
171,"Mali","ML2001DHS",2001,12849,12848.9957759998,0.0690976200380076,6.90976200380076,0.00277241945332851,0.277241945332851,1987,14,888,12849,1,0.0562419722447752,722.653101373116,6.33141511266001,0.0562419722447752,-2.6006341288499,171,"West Africa","WAF",13.006980724418,0.0128556477932324,1996,0.0503995601744616,0.0037396119727092,1998.5
172,"Mali","ML2006DHS",2006,14583,14582.999886,0.0622992897279105,6.22992897279105,0.00279201237350415,0.279201237350415,1987,19,909,14583,6,0.0768937091613326,1121.34096069971,-6.59992620063275,0.0768937091613326,-2.71148080099495,172,"West Africa","WAF",13.006980724418,-0.0145944194334221,2001,0.0690976200380076,-0.00135966606201942,2003.5
173,"Mali","ML2012DHS",2012,10424,10423.9997900001,0.0956747832973611,9.56747832973611,0.00327012914694163,0.327012914694163,1987,25,997,10424,12,0.108229223014074,1128.1814206987,-4.13576868064441,0.108229223014074,-2.24623428236411,173,"West Africa","WAF",13.006980724418,-0.0125544397167125,2006,0.0622992897279105,0.0055625822615751,2009
174,"Mali","ML2018DHS",2018,10519,10519.000156,0.154157662796027,15.4157662796027,0.004038003854498,0.4038003854498,1987,31,1622,10519,18,0.145668859985611,1532.29073818864,2.47943984726065,0.145668859985611,-1.7023571165019,174,"West Africa","WAF",13.006980724418,0.00848880281041578,2012,0.0956747832973611,0.00974714658311098,2015
175,"Mali","ML2023DHS",2023,17202,17346.8373319997,0.180591149097891,18.0591149097891,0.0033307718968729,0.33307718968729,1987,36,3133,17347,23,0.17949569624767,3113.71184280832,0.381602398561228,0.17949569624767,-1.51234753527655,175,"West Africa","WAF",13.006980724418,0.00109545285022145,2018,0.154157662796027,0.0052866972603728,2020.5
180,"Mozambique","MZ2003DHS",2003,12418,12418.0004049998,0.216111589827255,21.6111589827255,0.00461419469966332,0.461419469966332,1997,6,2684,12418,3,0.141554610384196,1757.82515175095,23.8423362990464,0.141554610384196,-1.28847178240379,180,"East/Southern Africa","ESA",7.23239055102267,0.0745569794430591,1997,0.0536293690999271,0.0270803701212213,2000
