"country","region","latest_obs_year","latest_obs_mcpr","stage_position_lastobs_mean","last_obs_rel_sat_mean","last_obs_rel_sat_p05","last_obs_rel_sat_p95","years_since_t0_lastobs_mean","years_since_t0_lastobs_p05","years_since_t0_lastobs_p95","growth_ratio_to_peak_mean","growth_ratio_to_peak_p05","growth_ratio_to_peak_p95","prob_stage1_initial","prob_stage2_diffusion","prob_stage3_plateau","s_curve_stage"
"Togo","West Africa",2013,0.167395012737612,-0.283824032415379,0.427795211743926,0.336937523914777,0.517066692693531,-3.69169371875343,-8.15969957927521,0.308439794912694,0.974082452784547,0.907724599598875,0.999850612209523,0,1,0,"Stage 2: diffusion"
"Turkey","Europe and Central Asia",2018,0.330166551386061,1.0243140170674,0.624484480882835,0.614072482840033,0.633582732791444,51.2157008533702,49.2473106251805,51.9658714673783,0.777555761215281,0.772054327076476,0.79190245381717,0,1,0,"Stage 2: diffusion"
"Chad","Central Africa",2014,0.0484411769242257,0.993222526797509,0.739850749660359,0.637800457250898,0.84308865387663,5.85842091503618,3.73142299122564,7.8484132149684,0.786515424505865,0.661415591065989,0.90626299916254,0,0.998333333333333,0.00166666666666667,"Stage 2: diffusion"
"Burundi","East/Southern Africa",2016,0.14574983802506,1.10006279905648,0.749397819410559,0.677489997817942,0.818251082249223,7.95608379342764,5.91264398198549,10.0892235992402,0.748449438742434,0.636655985738434,0.849905370440386,0,0.996666666666667,0.00333333333333333,"Stage 2: diffusion"
"Dominican Republic","Latin America and Carribbean",2013,0.525751817693423,1.39814060337568,0.755864808918926,0.736757420640804,0.775057078358909,22.9265328399591,21.65922637048,24.2031025997964,0.635476041047121,0.605700957042037,0.665166367695704,0,0.995833333333333,0.00416666666666667,"Stage 2: diffusion"
"Timor-Leste","East Asia and Pacific",2016,0.148053999037072,0.606895043390756,0.641627338948142,0.439906364086754,0.850541807197918,11.5832900948894,-3.2111530707379,29.3717563149709,0.886454887434124,0.581894563629478,0.999562199312654,0,0.971333333333333,0.0286666666666667,"Stage 2: diffusion"
"Angola","East/Southern Africa",2023,0.139111969545999,2.9577469752642,0.95084972052081,0.884181642710742,1.02321665359005,21.3915812762167,16.9089779726637,29.21460697646,0.200272732532094,0.068014996191704,0.321117052469613,0,0,1,"Stage 3: plateau"
"Bangladesh","South Asia",2022,0.520711393975091,4.32955376673645,1.01216959691438,1.00416467284078,1.02031871768724,33.1061597465583,32.5732069240742,33.6541566808771,0.0513629946921402,0.0478683430077356,0.0549345933931233,0,0,1,"Stage 3: plateau"
"Cameroon","Central Africa",2018,0.163836351658967,3.4445219248303,0.934238263812806,0.907001621664287,0.962607628257061,20.3171582825372,19.5231719658195,21.1398292704833,0.120144726621523,0.105138851697325,0.135965541226426,0,0,1,"Stage 3: plateau"
"Comoros","East/Southern Africa",2012,0.0985179320706266,3.602092001271,0.977899199451259,0.883123520389124,1.0811469993584,26.0517361539067,20.4752809852531,37.2890875018405,0.115060047475339,0.0227987679366828,0.210279905723124,0,0,1,"Stage 3: plateau"
"Congo Democratic Republic","Central Africa",2023,0.0989393506970059,3.2718350963998,0.975094831125115,0.936983110368718,1.01467567425815,19.2985827869828,17.9099669615293,20.8314164870733,0.141726982201226,0.110461973459777,0.174837497890708,0,0,1,"Stage 3: plateau"
"Egypt","Middle East and North Africa",2014,0.534797998505597,5.00263466856677,0.988695762155232,0.981380065013932,0.996075102936321,27.941261208978,27.6009766274338,28.3047102435591,0.0265359954042889,0.0248731385894328,0.0281657280980045,0,0,1,"Stage 3: plateau"
"Gabon","Central Africa",2019,0.171286150617783,7.95781061679758,0.844844741936716,0.820844607784214,0.869919452102825,46.9383274115454,36.1952584519835,52.721601211289,0.00201779376773239,0.000524921917632533,0.00861299876415282,0,0,1,"Stage 3: plateau"
"India","South Asia",2019,0.426744431117534,5.30162714109918,1.06718756885526,1.06489939189099,1.06948080067656,40.5391697404003,40.0285254687473,41.0656049417297,0.0197481400882032,0.0184357945012572,0.021085307596684,0,0,1,"Stage 3: plateau"
"Indonesia","East Asia and Pacific",2017,0.413596975173288,2.67040736074394,0.772889800098377,0.769648315425564,0.776136472963804,50.9677966031913,50.9071515067149,50.9967879622529,0.242203056913367,0.241882847607642,0.242873646835854,0,0,1,"Stage 3: plateau"
"Jordan","Middle East and North Africa",2023,0.354163935467088,6.81554566788182,0.920851555973794,0.911820268450188,0.930195557399899,38.066929609026,37.349584639282,38.8459053734174,0.00438677807827032,0.00380809290688679,0.00497510270166198,0,0,1,"Stage 3: plateau"
"Kenya","East/Southern Africa",2022,0.419868867938313,3.66217353530785,1.01696272234972,1.00589462780205,1.02826579054722,26.4862692729658,26.0471722141175,26.9261423609898,0.0976693981066722,0.0921398660221592,0.103415220715687,0,0,1,"Stage 3: plateau"
"Lesotho","East/Southern Africa",2023,0.532158420005745,2.46909880229202,0.90403760028599,0.881495865674161,0.926769105286282,17.8574868472382,17.2379497031468,18.477645966322,0.287997807919517,0.267611779131307,0.309254282230913,0,0,1,"Stage 3: plateau"
"Madagascar","East/Southern Africa",2021,0.340949162587376,1.91777720516705,0.857100200457026,0.836191926942905,0.879213127566876,13.8701137376169,13.4037820580274,14.3600439833154,0.44687427872486,0.424622558142741,0.46851824410397,0,0,1,"Stage 3: plateau"
"Malawi","East/Southern Africa",2024,0.5296723957499,2.47632082753696,0.933206664140332,0.920413106146526,0.946481782815241,17.9097193543789,17.5728425396253,18.250643828639,0.286138199770456,0.274879173186437,0.297530262950207,0,0,1,"Stage 3: plateau"
"Maldives","South Asia",2016,0.106443930762969,6.22331999018063,0.598156362481309,0.577774198006282,0.619500267348865,47.5869424077327,42.4380915260525,49.8610343772587,0.00820059886876382,0.00587311789365884,0.015430180942104,0,0,1,"Stage 3: plateau"
"Morocco","Middle East and North Africa",2003,0.2899759595683,4.43988715991412,1.05424246330079,1.02547253636173,1.08348732838099,24.7981423974518,22.9311534256064,27.1633302083136,0.0468572781497295,0.0304262858671413,0.0637991134530472,0,0,1,"Stage 3: plateau"
"Mozambique","East/Southern Africa",2022,0.250311161307126,3.09364517922694,1.08658056483233,1.0535894240569,1.12010557827116,22.3744501624578,21.5821243694159,23.1955387939694,0.166155971102117,0.149534704252257,0.183325241593216,0,0,1,"Stage 3: plateau"
"Namibia","East/Southern Africa",2013,0.497159535693403,2.52279815834493,0.913285668025002,0.894100528378004,0.932722948197282,18.2458615625513,17.5842996210002,18.9080292969385,0.275207272023064,0.254265211157503,0.297135433278719,0,0,1,"Stage 3: plateau"
"Nepal","South Asia",2022,0.327459191187039,4.78702404911769,0.951498677016645,0.937490940208797,0.9656818600145,36.6042302322916,35.2729128414192,38.0864326234167,0.0329348885340679,0.0270990042776124,0.0389151887033494,0,0,1,"Stage 3: plateau"
"Nigeria","West Africa",2024,0.13104165101535,1.93880037748211,0.90675495162832,0.878279310960616,0.93596396703651,25.2179391384042,23.5990898096496,26.9207323429304,0.44016063454334,0.398058265570347,0.48192934575117,0,0,1,"Stage 3: plateau"
"Pakistan","South Asia",2017,0.243493277721387,2.67630862957355,0.901431812241586,0.877226804877607,0.926222126381701,20.4645341749714,19.4840780747678,21.4643170592994,0.241297659091388,0.214805373460732,0.269163536732358,0,0,1,"Stage 3: plateau"
"South Africa","East/Southern Africa",2016,0.478773473282353,6.62910376382856,0.973267758848967,0.958764540737804,0.987276149254297,47.9442674232625,44.17289672111,49.8472638775228,0.00539941238515841,0.00405436566343534,0.00886361668218923,0,0,1,"Stage 3: plateau"
"Tanzania","East/Southern Africa",2022,0.25425034401086,3.10109653589763,0.897475191236571,0.878508085437799,0.916753791884899,22.4283412840351,21.8923885498942,22.9638477125828,0.164921263200271,0.154012355829209,0.176339391898864,0,0,1,"Stage 3: plateau"
"Uganda","East/Southern Africa",2016,0.272883816057891,1.84465611143517,0.903959738915504,0.876329678822381,0.932054697734921,13.3412734302299,12.660360544559,14.0234680435225,0.471631769796389,0.439777223472553,0.504336360836338,0,0,1,"Stage 3: plateau"
"Yemen","Middle East and North Africa",2013,0.274062929893469,2.50531631441235,0.924255595722012,0.897467714878642,0.951895155461995,13.9929661448104,13.1850056722102,14.8230558743356,0.279611959656673,0.245696629916781,0.315152141544478,0,0,1,"Stage 3: plateau"
"Zambia","East/Southern Africa",2024,0.384288593842627,2.90868408204914,0.965932161780089,0.949485291314482,0.982156107020156,21.0367392709223,20.5885438639356,21.502061563077,0.196272554837858,0.185167387168162,0.20737107051789,0,0,1,"Stage 3: plateau"
"Zimbabwe","East/Southern Africa",2015,0.478755957265201,3.89972245565128,1.07863643557267,1.06143027934581,1.09555304756237,28.2043158398632,27.4160109347573,29.0172913567854,0.0779166782732634,0.0698292870450414,0.0863723418008468,0,0,1,"Stage 3: plateau"
"Philippines","East Asia and Pacific",2022,0.242636996948533,1.6261237323634,0.799130216166365,0.775924125502326,0.822434949799351,31.0364421777324,29.1079251299742,33.0973489406646,0.549525579147555,0.510177854056498,0.587102603802913,0,0.00716666666666667,0.992833333333333,"Stage 3: plateau"
"Vietnam","East Asia and Pacific",2002,0.566804037565693,1.74144097182815,0.838629175038334,0.780615879917313,0.866731330883713,33.2374043576163,26.0552631357938,35.9154862633237,0.508571826050922,0.458855143846789,0.64812852741117,0,0.0728333333333333,0.927166666666667,"Stage 3: plateau"
