"country","decision_year","K_mean","K_p05","K_p95","t0_mean","t0_p05","t0_p95","s_mean","s_p05","s_p95","p_mean","p_p05","p_p95","head_mean","head_p05","head_p95","rel_mean","rel_p05","rel_p95","dpdt_mean","dpdt_p05","dpdt_p95","d2pdt2_mean","d2pdt2_p05","d2pdt2_p95","t0_year_mean","years_since_t0_2026","accel_status_2026","last_obs_year","last_obs_mcpr","head_lastobs_mean","rel_lastobs_mean","room_rel_lastobs","r_growth","r_head_lastobs","r_room_lastobs","leverage_head_lastobs","leverage_rel_lastobs","leverage_lastobs","phase_lastobs","phase_priority_lastobs"
"Tajikistan",2026,0.417462757693693,0.315193700267161,0.471060820936296,22.8539823509273,-6.3228421910664,34.2902301077318,50,50,50,0.212964593736981,0.206510536926594,0.218630965682418,0.204498163956712,0.108956271533977,0.254305308816722,0.515205686347457,0.458643550830411,0.656211576891575,0.00206682542795629,0.00142796014522002,0.00234101356728163,-7.58461179744847e-07,-8.93729768285753e-06,3.84897057196324e-06,2023,3.14601764907275,"Near peak / uncertain",2023,0.211965619115048,0.205497138578645,0.507747374367163,0.492252625632837,0.5,0.838709677419355,0.82258064516129,0.419354838709677,0.411290322580645,0.414516129032258,"Build / monitor",2
"Dominican Republic",2026,0.695675893749285,0.678339482825162,0.713602337709044,-9.92653283995906,-11.2031025997965,-8.65922637048006,16.3978735647939,16.3978735647939,16.3978735647939,0.625643314931406,0.614671519119296,0.636928757742619,0.0700325788178786,0.063553493271674,0.0768244661556509,0.899375230817685,0.892222008970735,0.906257858202006,0.00384035095671925,0.00351229978806657,0.00418023528816281,-0.000186992434263516,-0.000200026109511279,-0.000174040393966102,1990,35.926532839959,"Decelerating",2013,0.525751817693423,0.169924076055862,0.755742469183357,0.244257530816643,0.67741935483871,0.725806451612903,0.483870967741935,0.491675338189386,0.327783558792924,0.393340270551509,"Build / monitor",2
"Armenia",2026,0.377251333934605,0.297522434916296,0.420413717297045,25.7495340636642,4.26636640208731,34.4394438497071,50,50,50,0.187798967029479,0.179610933163179,0.194557823483946,0.189452366905126,0.116863639029713,0.226959899435086,0.501100792698439,0.45790267828117,0.606988905597655,0.00187590778246137,0.00142069769703374,0.00208905974147697,1.88352714627663e-07,-6.09347827742627e-06,3.47766559700729e-06,2026,0.250465936335786,"Near peak / uncertain",2016,0.181349671590196,0.195901662344409,0.480713135454764,0.519286864545236,0.435483870967742,0.790322580645161,0.870967741935484,0.34417273673257,0.379292403746098,0.365244536940687,"Build / monitor",2
"Cote d'Ivoire",2026,0.269058087099917,0.250608924206134,0.289416399072344,9.94185913117134,7.7989268652409,12.1116707587775,13.006980724418,13.006980724418,13.006980724418,0.208186434601377,0.200173043967628,0.21636957409149,0.0608716524985407,0.0497874528130993,0.073831726831689,0.774272874603696,0.744170630570503,0.802077728730654,0.00361653990256557,0.00307093875253904,0.00422298518138302,-0.000151850693342403,-0.000159639805575934,-0.0001422027918308,2010,16.0581408688286,"Decelerating",2021,0.190186155243145,0.0788719318567722,0.706859092373305,0.293140907626695,0.661290322580645,0.516129032258065,0.548387096774194,0.341311134235172,0.36264308012487,0.354110301768991,"Build / monitor",2
"Congo",2026,0.353148396450119,0.31190122818197,0.402329227541705,7.78019701695322,6.1002260443018,9.44881649319777,5.89839714361468,5.89839714361468,5.89839714361468,0.337485740043589,0.301429330758181,0.379664553425161,0.0156626564065301,0.0103696498225786,0.0228630178172062,0.956035335023653,0.94300175467534,0.966874316433999,0.00253537243697577,0.00169966021410432,0.00365808648489917,-0.00039101456115847,-0.000549426397201954,-0.000269018843942347,2008,18.2198029830467,"Decelerating",2011,0.222894903296517,0.130253493153602,0.631164987685284,0.368835012314716,0.548387096774194,0.629032258064516,0.645161290322581,0.344953173777315,0.353798126951093,0.350260145681582,"Build / monitor",2
"Guinea",2026,0.184470081546821,0.156421052674113,0.220730733460852,13.5248235282535,9.41860240178848,17.7327599151944,13.006980724418,13.006980724418,13.006980724418,0.132603347140601,0.1215311246418,0.144790658874551,0.0518667344062205,0.0341143486980647,0.0764825650153079,0.721748481393949,0.653758213058717,0.781564615169042,0.00285051550504473,0.00205126865782487,0.00384053476049148,-9.48724128555409e-05,-9.95848486743136e-05,-8.71950815995819e-05,2014,12.4751764717464,"Decelerating",2018,0.114285827113167,0.0701842544336543,0.619535841014737,0.380464158985263,0.564516129032258,0.483870967741935,0.693548387096774,0.27315296566077,0.391519250780437,0.34417273673257,"Build / monitor",2
"Turkey",2026,0.528736743154646,0.521110400129393,0.537667068007695,-33.2157008533702,-33.9658714673784,-31.2473106251805,50,50,50,0.404853545690874,0.399643088206823,0.410179467210896,0.123883197463773,0.121048928874264,0.129310467293872,0.765712011935652,0.758586611744638,0.7684033357195,0.00189706885588927,0.00185928959353176,0.00196310701167483,-2.01603901469229e-05,-2.04396787486211e-05,-1.98954318128658e-05,1967,59.2157008533702,"Decelerating",2018,0.330166551386061,0.198570191768585,0.624444122071337,0.375555877928663,0.467741935483871,0.806451612903226,0.661290322580645,0.377211238293444,0.309313215400624,0.336472424557752,"Build / monitor",2
"Timor-Leste",2026,0.237119192402088,0.174070219606325,0.336557985194834,4.41670990511058,-13.371756314971,19.211153070738,19.0861504324915,19.0861504324915,19.0861504324915,0.174274646398034,0.153990420925431,0.197433366667529,0.0628445460040541,0.0195524296501405,0.13829033398746,0.747771120306945,0.587997899424039,0.887239040045814,0.00234488928653898,0.000910169351080276,0.00426296760313161,-5.42376437284985e-05,-6.14313018783976e-05,-3.07393952383316e-05,2004,21.5832900948894,"Decelerating",2016,0.148053999037072,0.0890651933650162,0.624386400515457,0.375613599484543,0.532258064516129,0.532258064516129,0.67741935483871,0.283298647242456,0.360561914672216,0.329656607700312,"Build / monitor",2
"Peru",2026,0.483025873222159,0.471480342869683,0.49459059153324,-6.06453918051095,-7.22120981056204,-4.90813704372044,16.3978735647939,16.3978735647939,16.3978735647939,0.423100253553137,0.416429257742687,0.429620502491598,0.0599256196690221,0.0549455216167446,0.0652203851913516,0.875983069291441,0.868171437960806,0.883494461514466,0.00320064567821097,0.00296016334272488,0.0034530983922009,-0.000146715039185688,-0.000155078639227438,-0.000138447148861887,1994,32.064539180511,"Decelerating",2012,0.360555286853936,0.122470586368223,0.746451291415823,0.253548708584177,0.596774193548387,0.596774193548387,0.516129032258065,0.356139438085328,0.308012486992716,0.327263267429761,"Build / monitor",2
"Kyrgyz Republic",2026,0.38570964998557,0.373646158215065,0.399233191569279,-32.8080751951508,-33.9577685436816,-29.5777196517244,50,50,50,0.294757119557558,0.286149608026318,0.303703633397753,0.0909525304280119,0.0870412285120433,0.0980884154888084,0.764228722282162,0.752418784765162,0.768374494595857,0.00138995252461539,0.00133540854043891,0.00147663759391505,-1.46854746704128e-05,-1.5139792583046e-05,-1.42524768741539e-05,1967,58.8080751951509,"Decelerating",2012,0.226603802561305,0.159105847424265,0.587498400856142,0.412501599143858,0.387096774193548,0.67741935483871,0.741935483870968,0.262226847034339,0.287200832466181,0.277211238293444,"Build / monitor",2
"Ghana",2026,0.29535843606745,0.281374779990167,0.30993443347475,5.9004804023157,4.34531914179857,7.41691317485331,13.006980724418,13.006980724418,13.006980724418,0.243334920803386,0.236004380751056,0.250911366128627,0.052023515264064,0.0450269048205036,0.0597440940760083,0.824059574870417,0.806698841279659,0.840888076559384,0.00329341785114794,0.00291104558091951,0.00370676618699199,-0.000163832189155368,-0.000175037618166076,-0.000152146070411524,2006,20.0995195976843,"Decelerating",2022,0.234376863828137,0.0609815722393133,0.793533670304961,0.206466329695039,0.612903225806452,0.451612903225806,0.435483870967742,0.276795005202914,0.26690946930281,0.270863683662851,"Build / monitor",2
"Madagascar",2026,0.397858342573024,0.387788980739763,0.407740318471862,7.12988626238313,6.6399560166847,7.59621794197258,7.23239055102267,7.23239055102267,7.23239055102267,0.37056223178042,0.362502092528777,0.37844000125899,0.0272961107926045,0.0250469231822412,0.0295865558888455,0.931414273250858,0.927212148689896,0.935646877031161,0.00351495683241048,0.00324083568341928,0.00379343944970495,-0.000419254193485017,-0.000448118888121924,-0.000390266716171915,2007,18.870113737617,"Decelerating",2021,0.340949162587376,0.056909179985648,0.8569611997637,0.1430388002363,0.645161290322581,0.435483870967742,0.370967741935484,0.280957336108221,0.239334027055151,0.255983350676379,"Build / monitor",2
"Lesotho",2026,0.588740302673502,0.574208200320305,0.603699280662652,5.14251315276178,4.52235403367811,5.76205029685308,7.23239055102267,7.23239055102267,7.23239055102267,0.557524933521979,0.545657809402577,0.569514627576499,0.0312153691515221,0.0281713950313204,0.0345816189504283,0.947002328778823,0.942580531856882,0.951183882686734,0.00408682288066791,0.00370502050567484,0.00450601526098404,-0.000505055171069048,-0.000551390113930394,-0.000462099804737544,2005,20.8574868472383,"Decelerating",2023,0.532158420005745,0.0565818826677565,0.90389330845737,0.0961066915426295,0.709677419354839,0.419354838709677,0.306451612903226,0.297606659729448,0.217481789802289,0.249531737773153,"Build / monitor",2
"Burundi",2026,0.194933208869999,0.178123611673075,0.215132088777068,8.04391620657236,5.91077640075991,10.0873560180145,7.23239055102267,7.23239055102267,7.23239055102267,0.179689009231154,0.167389308934736,0.194011384542778,0.0152441996388445,0.0104388646360233,0.0213206158232771,0.922275816211655,0.900266703431818,0.941457380725743,0.00193991888047529,0.0013598750481938,0.00265453988897049,-0.000225573844231505,-0.000294014535075777,-0.000165966590410838,2008,17.9560837934275,"Decelerating",2016,0.14574983802506,0.0491833708449388,0.747691164937734,0.252308835062266,0.483870967741935,0.403225806451613,0.5,0.195109261186264,0.241935483870968,0.223204994797086,"Build / monitor",2
"Malawi",2026,0.567611911336274,0.559622388294962,0.575472461476259,6.09028064562107,5.74935617136092,6.42715746037472,7.23239055102267,7.23239055102267,7.23239055102267,0.533585250390154,0.527237676883507,0.539875201485187,0.0340266609461202,0.0321370772223599,0.0359309446794394,0.940060670073825,0.937395942447893,0.942675452651062,0.00442258593204547,0.00418867712249223,0.00465653214264595,-0.000538148755802314,-0.000563384753905007,-0.000512687244157292,2006,19.9097193543789,"Decelerating",2024,0.5296723957499,0.0379395155863739,0.933159409045775,0.0668405909542253,0.741935483870968,0.354838709677419,0.225806451612903,0.263267429760666,0.167533818938606,0.20582726326743,"Build / monitor",2
"Philippines",2026,0.303693701927694,0.295022721259779,0.312707117845993,-9.03644217773241,-11.0973489406646,-7.10792512997416,19.0861504324915,19.0861504324915,19.0861504324915,0.261853926550561,0.257537148957651,0.266246784788607,0.0418397753771327,0.0369825782686904,0.0467895034286204,0.862317883768935,0.850007137312271,0.874755758922408,0.00188951008184603,0.00169507814321801,0.00208466422059129,-7.16729655573506e-05,-7.65648400029258e-05,-6.65658375632813e-05,1991,35.0364421777324,"Decelerating",2022,0.242636996948533,0.0610567049791608,0.798953008931026,0.201046991068974,0.451612903225806,0.467741935483871,0.419354838709677,0.211238293444329,0.189386056191467,0.198126951092612,"Build / monitor",2
"Vietnam",2026,0.676366281585349,0.653955865414158,0.726098523226053,-31.2374043576163,-33.9154862633236,-24.0552631357939,19.0861504324915,19.0861504324915,19.0861504324915,0.643839852754311,0.626110470051974,0.67762682193421,0.0325264288310383,0.0273233175083012,0.0489344355400146,0.952097269696294,0.93230174195815,0.958481562570206,0.00162035313455141,0.00137204022945429,0.0023923142789834,-7.6556101080204e-05,-0.00010841803455087,-6.59068960053061e-05,1969,57.2374043576162,"Decelerating",2002,0.566804037565693,0.109562244019656,0.838013444781944,0.161986555218056,0.419354838709677,0.564516129032258,0.403225806451613,0.236732570239334,0.169094693028096,0.196149843912591,"Build / monitor",2
"Indonesia",2026,0.535133018720373,0.532892074500696,0.537384370086742,-33.9677966031913,-33.9967879622528,-33.907151506715,19.0861504324915,19.0861504324915,19.0861504324915,0.512973403926937,0.510846387714191,0.515134936143852,0.0221596147934353,0.0220539976063572,0.0222743597345131,0.958590463329125,0.958464181108986,0.958650746082218,0.00111295328714137,0.0011076853406103,0.00111866664656141,-5.34827272345321e-05,-5.37494323681552e-05,-5.32330504001743e-05,1966,59.9677966031913,"Decelerating",2017,0.413596975173288,0.121536043547085,0.772886293135666,0.227113706864334,0.370967741935484,0.580645161290323,0.451612903225806,0.215400624349636,0.167533818938606,0.186680541103018,"Build / monitor",2
"Uganda",2026,0.301948951773048,0.292776611424762,0.311394013751452,2.65872656977009,1.97653195647746,3.33963945544105,7.23239055102267,7.23239055102267,7.23239055102267,0.290411094254987,0.282349918477237,0.298573991070889,0.0115378575180612,0.0102555755017465,0.0129812695774258,0.961811249992606,0.958240711790765,0.965164101503728,0.00153421670403831,0.00136868742076261,0.00171972577035784,-0.00019588700036444,-0.000217873435950218,-0.000176058855409196,2003,23.3412734302299,"Decelerating",2016,0.272883816057891,0.0290651357151571,0.903741557821326,0.0962584421786739,0.403225806451613,0.290322580645161,0.32258064516129,0.117065556711759,0.130072840790843,0.124869927159209,"Build / monitor",2
"Albania",2026,0.0694332568407914,0.0644857656105198,0.0756654410414524,-30.6257377803624,-33.9062795580625,-20.1875415004314,50,50,50,0.0524671169626195,0.0491589234712372,0.0559498795886551,0.016966139878172,0.0151310997043288,0.0212532384869971,0.756025460358396,0.715805744274824,0.768191168768059,0.00025607414966808,0.000231832645316033,0.000304201087123807,-2.61235504828514e-06,-2.78756971012091e-06,-2.44285608169159e-06,1969,56.6257377803624,"Decelerating",2017,0.0281316859073467,0.0413015709334447,0.405161549196113,0.594838450803887,0.161290322580645,0.370967741935484,0.903225806451613,0.0598335067637877,0.145681581685744,0.111342351716961,"Build / monitor",2
