"country","region","latest_obs_year","latest_obs_mcpr","projected_latest_mean","projected_latest_p05","projected_latest_p95","projection_gap","abs_projection_gap","status_latest_projection"
"Egypt","Middle East and North Africa",2014,0.534797998505597,0.537307554666409,0.533449819232396,0.541150271862688,-0.00250955616081161,0.00250955616081161,"Within 95% projection interval"
"Burkina Faso","West Africa",2021,0.279405982804968,0.27690874476537,0.271439274706639,0.28219715622488,0.00249723803959828,0.00249723803959828,"Within 95% projection interval"
"Cote d'Ivoire","West Africa",2021,0.190186155243145,0.188255721245975,0.182570588636617,0.194081063327355,0.00193043399717002,0.00193043399717002,"Within 95% projection interval"
"Peru","Latin America and Carribbean",2012,0.360555286853936,0.362476126081982,0.359444765501738,0.365399703779539,-0.00192083922804581,0.00192083922804581,"Within 95% projection interval"
"Congo Democratic Republic","Central Africa",2023,0.0989393506970059,0.0977659380941903,0.0945184595155151,0.101021261070591,0.00117341260281563,0.00117341260281563,"Within 95% projection interval"
"Togo","West Africa",2013,0.167395012737612,0.168539058486112,0.160996333575423,0.176341452540102,-0.00114404574850033,0.00114404574850033,"Within 95% projection interval"
"Mali","West Africa",2023,0.180591149097891,0.17949569624767,0.174320062794693,0.184763792531257,0.00109545285022142,0.00109545285022142,"Within 95% projection interval"
"Chad","Central Africa",2014,0.0484411769242257,0.0477761013573097,0.0446620900439277,0.0510290590778708,0.000665075566915987,0.000665075566915987,"Within 95% projection interval"
"Comoros","East/Southern Africa",2012,0.0985179320706266,0.0979522894642553,0.089969051562066,0.106350194469624,0.000565642606371333,0.000565642606371333,"Within 95% projection interval"
"Angola","East/Southern Africa",2023,0.139111969545999,0.138618179393114,0.132903152238873,0.14431776406374,0.000493790152885393,0.000493790152885393,"Within 95% projection interval"
"Guatemala","Latin America and Carribbean",2015,0.322147069261597,0.322522643545541,0.316853367454974,0.328230409836725,-0.000375574283943914,0.000375574283943914,"Within 95% projection interval"
"Timor-Leste","East Asia and Pacific",2016,0.148053999037072,0.148375348967609,0.141681658346467,0.155196076643322,-0.000321349930537451,0.000321349930537451,"Within 95% projection interval"
"Congo","Central Africa",2011,0.222894903296517,0.222629993951154,0.214649962870815,0.230434386979167,0.000264909345363024,0.000264909345363024,"Within 95% projection interval"
"Honduras","Latin America and Carribbean",2011,0.429215182049415,0.429464643686902,0.422739649236051,0.43598599527868,-0.000249461637486903,0.000249461637486903,"Within 95% projection interval"
"Yemen","Middle East and North Africa",2013,0.274062929893469,0.27413804325179,0.267421666195406,0.28106180951243,-7.51133583211661e-05,7.51133583211661e-05,"Within 95% projection interval"
"Burundi","East/Southern Africa",2016,0.14574983802506,0.145814587646276,0.140717533654934,0.150775961393455,-6.47496212159704e-05,6.47496212159704e-05,"Within 95% projection interval"
